"projectID";"legalBasis";"title";"uniqueProgrammePart"
"101062030";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101039531";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101080611";"HORIZON.2.1";"Health";"true"
"101080611";"HORIZON.2.1.3";"Non-Communicable and Rare Diseases";""
"101094725";"HORIZON.4.2";"Reforming and enhancing the European R&I System";"true"
"101094725";"HORIZON.4.2.4";"Open science";""
"101137457";"HORIZON.2.1";"Health";"true"
"101137457";"HORIZON.2.1.3";"Non-Communicable and Rare Diseases";""
"101137457";"HORIZON.2.1.4";"Infectious Diseases, including poverty-related and neglected diseases";""
"101125555";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101119596";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101109457";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101075865";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101131147";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101116663";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101065610";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101137248";"HORIZON.2.1";"Health";"true"
"101137248";"HORIZON.2.1.5";"Tools, Technologies and Digital Solutions for Health and Care, including personalised medicine";""
"101137248";"HORIZON.2.1.4";"Infectious Diseases, including poverty-related and neglected diseases";""
"101046041";"HORIZON.2.1";"Health";"true"
